0,1
Ahvenanmaa,Varsinais-Suomen shp
Etelä-Karjala,Etelä-Karjalan shp
Etelä-Pohjanmaa,Etelä-Pohjanmaan shp
Etelä-Savo,Etelä-Savon shp
HUS,Helsingin ja Uudenmaan shp
Itä-Savo,Itä-Savon shp
Kainuu,Kainuun shp
Kanta-Häme,Kanta-Hämeen shp
Keski-Pohjanmaa,Keski-Pohjanmaan shp
Keski-Suomi,Keski-Suomen shp
Kymenlaakso,Kymenlaakson shp
Lappi,Lapin shp
Länsi-Pohja,Länsi-Pohjan shp
Pirkanmaa,Pirkanmaan shp
Pohjois-Karjala,Pohjois-Karjalan shp
Pohjois-Pohjanmaa,Pohjois-Pohjanmaan shp
Pohjois-Savo,Pohjois-Savon shp
Päijät-Häme,Päijät-Hämeen shp
Satakunta,Satakunnan shp
Vaasa,Vaasan shp
Varsinais-Suomi,Varsinais-Suomen shp
